id,left,top,right,bottom
"1",-88.722167969,34.091732025,-88.472167969,34.341732025
"2",-88.722167969,33.841732025,-88.472167969,34.091732025
"3",-88.472167969,34.091732025,-88.222167969,34.341732025
"4",-88.472167969,33.841732025,-88.222167969,34.091732025
"5",-88.222167969,34.091732025,-87.972167969,34.341732025
"6",-88.222167969,33.841732025,-87.972167969,34.091732025
